,period,period_time,event,team,description,player_one,player_two,event_type,x_cord,y_cord,empty_net,pit_score,sjs_score,shot_attempt
67,1,11:45,shot,San Jose Sharks,Roman Polak Wrist Shot saved by Matthew Murray,Roman Polak,NA,wrist_shot,31,-26,NA,1,0,1
68,1,11:58,hit,Pittsburgh Penguins,Tom Kuhnhackl hit Joe Thornton,Tom Kuhnhackl,Joe Thornton,NA,8,-40,NA,1,0,0
69,1,12:10,missed_shot,Pittsburgh Penguins,Bryan Rust - Wide of Net,Bryan Rust,NA,NA,54,-5,NA,1,0,1
70,1,12:11,hit,San Jose Sharks,Joonas Donskoi hit Bryan Rust,Joonas Donskoi,Bryan Rust,NA,64,36,NA,1,0,0
71,1,12:36,missed_shot,San Jose Sharks,Matt Nieto - Wide of Net,Matt Nieto,NA,NA,69,26,NA,1,0,1
72,1,12:39,blocked_shot,Pittsburgh Penguins,Chris Kunitz blocked shot from Brent Burns,Brent Burns,Chris Kunitz,NA,61,-18,NA,1,0,1
73,1,13:00,hit,San Jose Sharks,Tommy Wingels hit Brian Dumoulin,Tommy Wingels,Brian Dumoulin,NA,13,-41,NA,1,0,0
74,1,13:11,hit,San Jose Sharks,Nick Spaling hit Sidney Crosby,Nick Spaling,Sidney Crosby,NA,73,-28,NA,1,0,0
75,1,13:27,hit,Pittsburgh Penguins,Kris Letang hit Logan Couture,Kris Letang,Logan Couture,NA,97,21,NA,1,0,0
76,1,14:08,blocked_shot,Pittsburgh Penguins,Nick Bonino blocked shot from Brenden Dillon,Brenden Dillon,Nick Bonino,NA,61,8,NA,1,0,1
77,1,14:14,missed_shot,San Jose Sharks,Brenden Dillon - Wide of Net,Brenden Dillon,NA,NA,44,18,NA,1,0,1
78,1,14:18,shot,San Jose Sharks,Roman Polak Wrist Shot saved by Matthew Murray,Roman Polak,NA,wrist_shot,44,-24,NA,1,0,1
79,1,14:25,blocked_shot,Pittsburgh Penguins,Ben Lovejoy blocked shot from Matt Nieto,Matt Nieto,Ben Lovejoy,NA,63,6,NA,1,0,1
80,1,14:27,stoppage,NA,Puck in Netting,NA,NA,NA,NA,NA,NA,1,0,0
81,1,14:27,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Joe Thornton,Sidney Crosby,Joe Thornton,NA,69,22,NA,1,0,0
82,1,15:24,giveaway,San Jose Sharks,Giveaway by Martin Jones,Martin Jones,NA,NA,74,40,NA,1,0,0
83,1,15:29,missed_shot,Pittsburgh Penguins,Chris Kunitz - Wide of Net,Chris Kunitz,NA,NA,74,12,NA,1,0,1
84,1,15:38,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,1,0,0
85,1,15:38,faceoff,San Jose Sharks,Logan Couture faceoff won against Nick Bonino,Logan Couture,Nick Bonino,NA,69,-22,NA,1,0,0
86,1,15:44,giveaway,San Jose Sharks,Giveaway by Brenden Dillon,Brenden Dillon,NA,NA,52,-40,NA,1,0,0
87,1,15:46,giveaway,Pittsburgh Penguins,Giveaway by Ian Cole,Ian Cole,NA,NA,75,-39,NA,1,0,0
88,1,15:53,takeaway,San Jose Sharks,Takeaway by Logan Couture,Logan Couture,NA,NA,61,30,NA,1,0,0
89,1,16:13,hit,San Jose Sharks,Joel Ward hit Justin Schultz,Joel Ward,Justin Schultz,NA,94,25,NA,1,0,0
90,1,16:16,missed_shot,San Jose Sharks,Brent Burns - Wide of Net,Brent Burns,NA,NA,53,7,NA,1,0,1
91,1,16:17,blocked_shot,Pittsburgh Penguins,Ian Cole blocked shot from Brent Burns,Brent Burns,Ian Cole,NA,69,-3,NA,1,0,1
92,1,16:25,giveaway,San Jose Sharks,Giveaway by Paul Martin,Paul Martin,NA,NA,59,33,NA,1,0,0
93,1,16:29,shot,Pittsburgh Penguins,Sidney Crosby Wrist Shot saved by Martin Jones,Sidney Crosby,NA,wrist_shot,61,-3,NA,1,0,1
94,1,16:31,blocked_shot,San Jose Sharks,Joel Ward blocked shot from Phil Kessel,Phil Kessel,Joel Ward,NA,66,3,NA,1,0,1
95,1,16:34,shot,Pittsburgh Penguins,Sidney Crosby Wrist Shot saved by Martin Jones,Sidney Crosby,NA,wrist_shot,86,9,NA,1,0,1
96,1,16:38,hit,San Jose Sharks,Paul Martin hit Sidney Crosby,Paul Martin,Sidney Crosby,NA,97,28,NA,1,0,0
97,1,16:41,blocked_shot,San Jose Sharks,Joel Ward blocked shot from Phil Kessel,Phil Kessel,Joel Ward,NA,73,0,NA,1,0,1
98,1,16:43,shot,Pittsburgh Penguins,Conor Sheary Slap Shot saved by Martin Jones,Conor Sheary,NA,slap_shot,72,2,NA,1,0,1
99,1,17:19,giveaway,Pittsburgh Penguins,Giveaway by Brian Dumoulin,Brian Dumoulin,NA,NA,35,-11,NA,1,0,0
100,1,17:32,takeaway,San Jose Sharks,Takeaway by Roman Polak,Roman Polak,NA,NA,55,-17,NA,1,0,0
101,1,17:33,blocked_shot,San Jose Sharks,Roman Polak blocked shot from Eric Fehr,Eric Fehr,Roman Polak,NA,60,-12,NA,1,0,1
102,1,17:37,giveaway,San Jose Sharks,Giveaway by Joe Thornton,Joe Thornton,NA,NA,41,-4,NA,1,0,0
103,1,17:49,hit,San Jose Sharks,Tommy Wingels hit Evgeni Malkin,Tommy Wingels,Evgeni Malkin,NA,51,40,NA,1,0,0
104,1,18:02,hit,San Jose Sharks,Dainius Zubrus hit Chris Kunitz,Dainius Zubrus,Chris Kunitz,NA,93,-35,NA,1,0,0
105,1,18:05,shot,Pittsburgh Penguins,Kris Letang Wrist Shot saved by Martin Jones,Kris Letang,NA,wrist_shot,71,35,NA,1,0,1
106,1,18:06,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,1,0,0
107,1,18:06,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Logan Couture,Nick Bonino,Logan Couture,NA,69,22,NA,1,0,0
108,1,18:24,hit,San Jose Sharks,Brent Burns hit Phil Kessel,Brent Burns,Phil Kessel,NA,97,-16,NA,1,0,0
109,1,18:27,hit,Pittsburgh Penguins,Carl Hagelin hit Logan Couture,Carl Hagelin,Logan Couture,NA,63,-40,NA,1,0,0
110,1,18:32,shot,Pittsburgh Penguins,Phil Kessel Wrist Shot saved by Martin Jones,Phil Kessel,NA,wrist_shot,81,1,NA,1,0,1
111,1,18:33,hit,San Jose Sharks,Paul Martin hit Phil Kessel,Paul Martin,Phil Kessel,NA,80,5,NA,1,0,0
112,1,18:37,shot,Pittsburgh Penguins,Nick Bonino Wrist Shot saved by Martin Jones,Nick Bonino,NA,wrist_shot,70,2,NA,1,0,1
113,1,18:39,blocked_shot,San Jose Sharks,Patrick Marleau blocked shot from Ben Lovejoy,Ben Lovejoy,Patrick Marleau,NA,73,-1,NA,1,0,1
114,1,18:55,blocked_shot,Pittsburgh Penguins,Ben Lovejoy blocked shot from Matt Nieto,Matt Nieto,Ben Lovejoy,NA,73,-20,NA,1,0,1
115,1,19:22,blocked_shot,San Jose Sharks,Marc-Edouard Vlasic blocked shot from Patric Hornqvist,Patric Hornqvist,Marc-Edouard Vlasic,NA,58,20,NA,1,0,1
116,1,19:30,shot,San Jose Sharks,Joonas Donskoi Wrist Shot saved by Matthew Murray,Joonas Donskoi,NA,wrist_shot,66,-24,NA,1,0,1
117,1,19:48,hit,Pittsburgh Penguins,Olli Maatta hit Dainius Zubrus,Olli Maatta,Dainius Zubrus,NA,35,42,NA,1,0,0
118,1,20:00,hit,Pittsburgh Penguins,Evgeni Malkin hit Roman Polak,Evgeni Malkin,Roman Polak,NA,96,-20,NA,1,0,0
119,1,20:00,period_end,NA,End of 1st Period,NA,NA,NA,NA,NA,NA,1,0,0
120,2,0:00,period_start,NA,Period Start,NA,NA,NA,NA,NA,NA,1,0,0
121,2,0:00,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Joe Pavelski,Sidney Crosby,Joe Pavelski,NA,0,0,NA,1,0,0
122,2,0:09,giveaway,San Jose Sharks,Giveaway by Joonas Donskoi,Joonas Donskoi,NA,NA,42,-30,NA,1,0,0
123,2,0:27,giveaway,San Jose Sharks,Giveaway by Joe Thornton,Joe Thornton,NA,NA,32,30,NA,1,0,0
124,2,0:46,hit,San Jose Sharks,Joe Pavelski hit Conor Sheary,Joe Pavelski,Conor Sheary,NA,42,23,NA,1,0,0
125,2,0:48,blocked_shot,San Jose Sharks,Paul Martin blocked shot from Bryan Rust,Bryan Rust,Paul Martin,NA,55,20,NA,1,0,1
126,2,0:49,stoppage,NA,Puck in Crowd,NA,NA,NA,NA,NA,NA,1,0,0
127,2,0:49,faceoff,San Jose Sharks,Logan Couture faceoff won against Evgeni Malkin,Logan Couture,Evgeni Malkin,NA,69,22,NA,1,0,0
128,2,1:16,missed_shot,San Jose Sharks,Logan Couture - Wide of Net,Logan Couture,NA,NA,82,5,NA,1,0,1
129,2,1:22,missed_shot,San Jose Sharks,Melker Karlsson - Wide of Net,Melker Karlsson,NA,NA,72,13,NA,1,0,1
130,2,1:22,shot,San Jose Sharks,Logan Couture Wrap-around saved by Matthew Murray,Logan Couture,NA,wrap-around,87,-4,NA,1,0,1
131,2,1:23,shot,San Jose Sharks,Melker Karlsson Tip-In saved by Matthew Murray,Melker Karlsson,NA,tip-in,76,7,NA,1,0,1
132,2,1:25,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,1,0,0
133,2,1:25,faceoff,San Jose Sharks,Joel Ward faceoff won against Matt Cullen,Joel Ward,Matt Cullen,NA,69,22,NA,1,0,0
134,2,1:33,blocked_shot,Pittsburgh Penguins,Carl Hagelin blocked shot from Brent Burns,Brent Burns,Carl Hagelin,NA,60,21,NA,1,0,1
135,2,1:41,takeaway,Pittsburgh Penguins,Takeaway by Nick Bonino,Nick Bonino,NA,NA,41,-10,NA,1,0,0
136,2,1:50,giveaway,San Jose Sharks,Giveaway by Matt Nieto,Matt Nieto,NA,NA,40,-38,NA,1,0,0
137,2,1:54,shot,Pittsburgh Penguins,Nick Bonino Backhand saved by Martin Jones,Nick Bonino,NA,backhand,76,1,NA,1,0,1
138,2,2:06,giveaway,Pittsburgh Penguins,Giveaway by Ian Cole,Ian Cole,NA,NA,22,-9,NA,1,0,0
139,2,2:17,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,1,0,0
140,2,2:17,faceoff,San Jose Sharks,Joe Pavelski faceoff won against Sidney Crosby,Joe Pavelski,Sidney Crosby,NA,69,22,NA,1,0,0
141,2,2:23,blocked_shot,Pittsburgh Penguins,Ian Cole blocked shot from Marc-Edouard Vlasic,Marc-Edouard Vlasic,Ian Cole,NA,76,2,NA,1,0,1
142,2,2:30,shot,San Jose Sharks,Joe Thornton Deflected saved by Matthew Murray,Joe Thornton,NA,deflected,81,0,NA,1,0,1
143,2,2:37,blocked_shot,Pittsburgh Penguins,Carl Hagelin blocked shot from Justin Braun,Justin Braun,Carl Hagelin,NA,76,1,NA,1,0,1
144,2,2:50,shot,San Jose Sharks,Justin Braun Slap Shot saved by Matthew Murray,Justin Braun,NA,slap_shot,38,19,NA,1,0,1
145,2,2:58,missed_shot,San Jose Sharks,Marc-Edouard Vlasic - Over Net,Marc-Edouard Vlasic,NA,NA,38,-12,NA,1,0,1
146,2,3:06,blocked_shot,Pittsburgh Penguins,Sidney Crosby blocked shot from Melker Karlsson,Melker Karlsson,Sidney Crosby,NA,70,5,NA,1,0,1
147,2,3:12,shot,San Jose Sharks,Melker Karlsson Tip-In saved by Matthew Murray,Melker Karlsson,NA,tip-in,79,-5,NA,1,0,1
148,2,3:13,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,1,0,0
149,2,3:13,faceoff,San Jose Sharks,Logan Couture faceoff won against Matt Cullen,Logan Couture,Matt Cullen,NA,69,-22,NA,1,0,0
150,2,3:17,shot,San Jose Sharks,Logan Couture Snap Shot saved by Matthew Murray,Logan Couture,NA,snap_shot,64,-7,NA,1,0,1
151,2,3:18,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,1,0,0
152,2,3:18,faceoff,Pittsburgh Penguins,Matt Cullen faceoff won against Logan Couture,Matt Cullen,Logan Couture,NA,69,-22,NA,1,0,0
153,2,3:23,blocked_shot,Pittsburgh Penguins,Tom Kuhnhackl blocked shot from Roman Polak,Roman Polak,Tom Kuhnhackl,NA,60,10,NA,1,0,1
154,2,3:28,blocked_shot,Pittsburgh Penguins,Eric Fehr blocked shot from Brent Burns,Brent Burns,Eric Fehr,NA,60,-17,NA,1,0,1
155,2,3:32,blocked_shot,Pittsburgh Penguins,Eric Fehr blocked shot from Logan Couture,Logan Couture,Eric Fehr,NA,63,-4,NA,1,0,1
156,2,3:35,blocked_shot,San Jose Sharks,Roman Polak blocked shot from Tom Kuhnhackl,Tom Kuhnhackl,Roman Polak,NA,69,1,NA,1,0,1
157,2,3:38,hit,Pittsburgh Penguins,Eric Fehr hit Roman Polak,Eric Fehr,Roman Polak,NA,96,-21,NA,1,0,0
158,2,3:39,hit,Pittsburgh Penguins,Tom Kuhnhackl hit Brent Burns,Tom Kuhnhackl,Brent Burns,NA,61,39,NA,1,0,0
159,2,4:10,giveaway,San Jose Sharks,Giveaway by Roman Polak,Roman Polak,NA,NA,10,-39,NA,1,0,0
160,2,4:16,shot,Pittsburgh Penguins,Bryan Rust Wrist Shot saved by Martin Jones,Bryan Rust,NA,wrist_shot,75,2,NA,1,0,1
161,2,4:24,shot,San Jose Sharks,Chris Tierney Wrist Shot saved by Matthew Murray,Chris Tierney,NA,wrist_shot,34,8,NA,1,0,1
162,2,4:26,hit,San Jose Sharks,Matt Nieto hit Evgeni Malkin,Matt Nieto,Evgeni Malkin,NA,53,-40,NA,1,0,0
163,2,4:33,stoppage,NA,Puck in Benches,NA,NA,NA,NA,NA,NA,1,0,0
164,2,4:33,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Joe Pavelski,Sidney Crosby,Joe Pavelski,NA,0,0,NA,1,0,0
165,2,4:42,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,1,0,0
166,2,4:42,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Joe Thornton,Sidney Crosby,Joe Thornton,NA,69,-22,NA,1,0,0
167,2,4:48,missed_shot,Pittsburgh Penguins,Sidney Crosby - Wide of Net,Sidney Crosby,NA,NA,75,-9,NA,1,0,1
168,2,5:03,takeaway,Pittsburgh Penguins,Takeaway by Conor Sheary,Conor Sheary,NA,NA,5,-18,NA,1,0,0
169,2,5:36,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,1,0,0
170,2,5:36,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Nick Spaling,Nick Bonino,Nick Spaling,NA,69,22,NA,1,0,0
171,2,5:43,blocked_shot,San Jose Sharks,Nick Spaling blocked shot from Ian Cole,Ian Cole,Nick Spaling,NA,62,15,NA,1,0,1
172,2,5:52,takeaway,San Jose Sharks,Takeaway by Tommy Wingels,Tommy Wingels,NA,NA,40,-40,NA,1,0,0
173,2,6:05,blocked_shot,Pittsburgh Penguins,Justin Schultz blocked shot from Nick Spaling,Nick Spaling,Justin Schultz,NA,69,-23,NA,1,0,1
174,2,6:09,shot,San Jose Sharks,Dainius Zubrus Wrist Shot saved by Matthew Murray,Dainius Zubrus,NA,wrist_shot,57,-33,NA,1,0,1
175,2,6:12,hit,San Jose Sharks,Dainius Zubrus hit Justin Schultz,Dainius Zubrus,Justin Schultz,NA,80,-39,NA,1,0,0
176,2,6:22,giveaway,Pittsburgh Penguins,Giveaway by Ian Cole,Ian Cole,NA,NA,29,11,NA,1,0,0
177,2,6:27,goal,San Jose Sharks,"Logan Couture (10) Wrist Shot, assists: Melker Karlsson (3), Brent Burns (17)",Logan Couture,NA,wrist_shot,69,-3,FALSE,1,1,1
178,2,6:27,faceoff,Pittsburgh Penguins,Evgeni Malkin faceoff won against Chris Tierney,Evgeni Malkin,Chris Tierney,NA,0,0,NA,1,1,0
179,2,6:42,giveaway,Pittsburgh Penguins,Giveaway by Chris Kunitz,Chris Kunitz,NA,NA,22,14,NA,1,1,0
180,2,7:01,giveaway,Pittsburgh Penguins,Giveaway by Olli Maatta,Olli Maatta,NA,NA,11,37,NA,1,1,0
181,2,7:15,blocked_shot,San Jose Sharks,Paul Martin blocked shot from Sidney Crosby,Sidney Crosby,Paul Martin,NA,70,7,NA,1,1,1
182,2,7:24,blocked_shot,San Jose Sharks,Roman Polak blocked shot from Brian Dumoulin,Brian Dumoulin,Roman Polak,NA,76,-1,NA,1,1,1
183,2,7:28,giveaway,San Jose Sharks,Giveaway by Joe Pavelski,Joe Pavelski,NA,NA,55,-39,NA,1,1,0
184,2,7:37,giveaway,San Jose Sharks,Giveaway by Joe Pavelski,Joe Pavelski,NA,NA,48,37,NA,1,1,0
185,2,7:44,shot,Pittsburgh Penguins,Kris Letang Backhand saved by Martin Jones,Kris Letang,NA,backhand,93,16,NA,1,1,1
186,2,7:46,goal,Pittsburgh Penguins,"Kris Letang (3) Slap Shot, assists: Sidney Crosby (12), Conor Sheary (6)",Kris Letang,NA,slap_shot,80,-4,FALSE,2,1,1
187,2,7:46,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Logan Couture,Nick Bonino,Logan Couture,NA,0,0,NA,2,1,0
188,2,8:21,stoppage,NA,High Stick,NA,NA,NA,NA,NA,NA,2,1,0
189,2,8:21,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Chris Tierney,Nick Bonino,Chris Tierney,NA,0,0,NA,2,1,0
190,2,8:37,stoppage,NA,Puck in Crowd,NA,NA,NA,NA,NA,NA,2,1,0
191,2,8:37,faceoff,San Jose Sharks,Nick Spaling faceoff won against Matt Cullen,Nick Spaling,Matt Cullen,NA,20,22,NA,2,1,0
192,2,8:51,hit,San Jose Sharks,Roman Polak hit Tom Kuhnhackl,Roman Polak,Tom Kuhnhackl,NA,14,-3,NA,2,1,0
193,2,8:57,hit,San Jose Sharks,Dainius Zubrus hit Ben Lovejoy,Dainius Zubrus,Ben Lovejoy,NA,97,28,NA,2,1,0
194,2,9:35,hit,Pittsburgh Penguins,Bryan Rust hit Paul Martin,Bryan Rust,Paul Martin,NA,4,-38,NA,2,1,0
195,2,9:43,hit,Pittsburgh Penguins,Bryan Rust hit Brent Burns,Bryan Rust,Brent Burns,NA,97,20,NA,2,1,0
196,2,10:03,hit,San Jose Sharks,Brent Burns hit Evgeni Malkin,Brent Burns,Evgeni Malkin,NA,96,22,NA,2,1,0
197,2,10:09,hit,Pittsburgh Penguins,Ben Lovejoy hit Joe Pavelski,Ben Lovejoy,Joe Pavelski,NA,16,36,NA,2,1,0
198,2,10:21,blocked_shot,Pittsburgh Penguins,Patric Hornqvist blocked shot from Brenden Dillon,Brenden Dillon,Patric Hornqvist,NA,63,-8,NA,2,1,1
199,2,10:22,stoppage,NA,Puck in Netting,NA,NA,NA,NA,NA,NA,2,1,0
200,2,10:22,faceoff,San Jose Sharks,Joe Pavelski faceoff won against Matt Cullen,Joe Pavelski,Matt Cullen,NA,69,-22,NA,2,1,0
201,2,10:28,shot,San Jose Sharks,Brent Burns Wrist Shot saved by Matthew Murray,Brent Burns,NA,wrist_shot,58,21,NA,2,1,1
202,2,10:32,missed_shot,San Jose Sharks,Joe Pavelski - Wide of Net,Joe Pavelski,NA,NA,68,-16,NA,2,1,1
203,2,10:35,missed_shot,San Jose Sharks,Joe Thornton - Wide of Net,Joe Thornton,NA,NA,56,18,NA,2,1,1
204,2,10:42,hit,Pittsburgh Penguins,Kris Letang hit Joonas Donskoi,Kris Letang,Joonas Donskoi,NA,99,-16,NA,2,1,0
205,2,10:46,blocked_shot,Pittsburgh Penguins,Sidney Crosby blocked shot from Brent Burns,Brent Burns,Sidney Crosby,NA,49,21,NA,2,1,1
206,2,10:53,hit,Pittsburgh Penguins,Kris Letang hit Joonas Donskoi,Kris Letang,Joonas Donskoi,NA,64,-41,NA,2,1,0
207,2,11:01,blocked_shot,Pittsburgh Penguins,Matt Cullen blocked shot from Joonas Donskoi,Joonas Donskoi,Matt Cullen,NA,67,5,NA,2,1,1
208,2,11:07,shot,Pittsburgh Penguins,Patric Hornqvist Wrist Shot saved by Martin Jones,Patric Hornqvist,NA,wrist_shot,50,-2,NA,2,1,1
209,2,11:25,hit,San Jose Sharks,Matt Nieto hit Olli Maatta,Matt Nieto,Olli Maatta,NA,99,-13,NA,2,1,0
210,2,11:41,shot,Pittsburgh Penguins,Phil Kessel Snap Shot saved by Martin Jones,Phil Kessel,NA,snap_shot,51,-25,NA,2,1,1
211,2,12:14,hit,Pittsburgh Penguins,Bryan Rust hit Roman Polak,Bryan Rust,Roman Polak,NA,54,38,NA,2,1,0
212,2,12:16,stoppage,NA,Icing,NA,NA,NA,NA,NA,NA,2,1,0
213,2,12:16,faceoff,Pittsburgh Penguins,Sidney Crosby faceoff won against Chris Tierney,Sidney Crosby,Chris Tierney,NA,69,22,NA,2,1,0
214,2,12:20,blocked_shot,San Jose Sharks,Melker Karlsson blocked shot from Patric Hornqvist,Patric Hornqvist,Melker Karlsson,NA,58,8,NA,2,1,1
215,2,12:28,missed_shot,Pittsburgh Penguins,Kris Letang - Wide of Net,Kris Letang,NA,NA,37,21,NA,2,1,1
216,2,12:32,hit,Pittsburgh Penguins,Patric Hornqvist hit Patrick Marleau,Patric Hornqvist,Patrick Marleau,NA,14,-40,NA,2,1,0
217,2,12:39,hit,San Jose Sharks,Patrick Marleau hit Ian Cole,Patrick Marleau,Ian Cole,NA,97,-7,NA,2,1,0
218,2,12:54,hit,San Jose Sharks,Logan Couture hit Ian Cole,Logan Couture,Ian Cole,NA,98,7,NA,2,1,0
219,2,12:58,shot,San Jose Sharks,Patrick Marleau Wrist Shot saved by Matthew Murray,Patrick Marleau,NA,wrist_shot,75,-15,NA,2,1,1
220,2,13:08,missed_shot,San Jose Sharks,Paul Martin - Wide of Net,Paul Martin,NA,NA,38,-10,NA,2,1,1
221,2,13:21,hit,San Jose Sharks,Dainius Zubrus hit Patric Hornqvist,Dainius Zubrus,Patric Hornqvist,NA,19,-42,NA,2,1,0
222,2,13:37,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,2,1,0
223,2,13:37,faceoff,Pittsburgh Penguins,Matt Cullen faceoff won against Joe Pavelski,Matt Cullen,Joe Pavelski,NA,69,22,NA,2,1,0
224,2,14:44,shot,San Jose Sharks,Joel Ward Backhand saved by Matthew Murray,Joel Ward,NA,backhand,67,0,NA,2,1,1
225,2,14:46,hit,San Jose Sharks,Chris Tierney hit Bryan Rust,Chris Tierney,Bryan Rust,NA,97,-26,NA,2,1,0
226,2,14:54,missed_shot,San Jose Sharks,Brent Burns - Wide of Net,Brent Burns,NA,NA,64,24,NA,2,1,1
227,2,15:10,shot,Pittsburgh Penguins,Evgeni Malkin Wrist Shot saved by Martin Jones,Evgeni Malkin,NA,wrist_shot,82,-4,NA,2,1,1
228,2,15:12,missed_shot,Pittsburgh Penguins,Brian Dumoulin - Wide of Net,Brian Dumoulin,NA,NA,81,-5,NA,2,1,1
229,2,15:19,missed_shot,Pittsburgh Penguins,Chris Kunitz - Wide of Net,Chris Kunitz,NA,NA,40,7,NA,2,1,1
230,2,15:47,giveaway,Pittsburgh Penguins,Giveaway by Carl Hagelin,Carl Hagelin,NA,NA,45,39,NA,2,1,0
231,2,15:56,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,2,1,0
232,2,15:56,faceoff,Pittsburgh Penguins,Matt Cullen faceoff won against Joe Pavelski,Matt Cullen,Joe Pavelski,NA,69,22,NA,2,1,0
233,2,16:04,shot,San Jose Sharks,Brent Burns Wrist Shot saved by Matthew Murray,Brent Burns,NA,wrist_shot,55,19,NA,2,1,1
234,2,16:05,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,2,1,0
235,2,16:05,faceoff,San Jose Sharks,Joe Pavelski faceoff won against Matt Cullen,Joe Pavelski,Matt Cullen,NA,69,22,NA,2,1,0
236,2,16:13,hit,San Jose Sharks,Brent Burns hit Kris Letang,Brent Burns,Kris Letang,NA,3,39,NA,2,1,0
237,2,16:16,hit,Pittsburgh Penguins,Patric Hornqvist hit Brent Burns,Patric Hornqvist,Brent Burns,NA,7,37,NA,2,1,0
238,2,16:31,hit,San Jose Sharks,Joonas Donskoi hit Ben Lovejoy,Joonas Donskoi,Ben Lovejoy,NA,96,9,NA,2,1,0
239,2,16:39,shot,Pittsburgh Penguins,Sidney Crosby Tip-In saved by Martin Jones,Sidney Crosby,NA,tip-in,79,5,NA,2,1,1
240,2,16:40,shot,Pittsburgh Penguins,Patric Hornqvist Backhand saved by Martin Jones,Patric Hornqvist,NA,backhand,84,3,NA,2,1,1
241,2,16:41,stoppage,NA,Goalie Stopped,NA,NA,NA,NA,NA,NA,2,1,0
242,2,16:41,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Logan Couture,Nick Bonino,Logan Couture,NA,69,22,NA,2,1,0
