,period,period_time,event,team,description,player_one,player_two,event_type,x_cord,y_cord,empty_net,pit_score,sjs_score,shot_attempt
288,3,3:53,hit,San Jose Sharks,Brent Burns hit Eric Fehr,Brent Burns,Eric Fehr,NA,26,42,NA,2,1,0
289,3,4:03,shot,Pittsburgh Penguins,Eric Fehr Wrist Shot saved by Martin Jones,Eric Fehr,NA,wrist_shot,59,35,NA,2,1,1
290,3,4:20,hit,San Jose Sharks,Brenden Dillon hit Bryan Rust,Brenden Dillon,Bryan Rust,NA,99,9,NA,2,1,0
291,3,4:33,blocked_shot,San Jose Sharks,Justin Braun blocked shot from Evgeni Malkin,Evgeni Malkin,Justin Braun,NA,77,3,NA,2,1,1
292,3,4:39,missed_shot,Pittsburgh Penguins,Evgeni Malkin - Wide of Net,Evgeni Malkin,NA,NA,57,-28,NA,2,1,1
293,3,4:48,hit,Pittsburgh Penguins,Chris Kunitz hit Joel Ward,Chris Kunitz,Joel Ward,NA,82,-40,NA,2,1,0
294,3,5:02,blocked_shot,Pittsburgh Penguins,Brian Dumoulin blocked shot from Justin Braun,Justin Braun,Brian Dumoulin,NA,50,-6,NA,2,1,1
295,3,5:06,blocked_shot,Pittsburgh Penguins,Patric Hornqvist blocked shot from Marc-Edouard Vlasic,Marc-Edouard Vlasic,Patric Hornqvist,NA,54,12,NA,2,1,1
296,3,5:17,takeaway,Pittsburgh Penguins,Takeaway by Ben Lovejoy,Ben Lovejoy,NA,NA,94,-35,NA,2,1,0
297,3,5:26,penalty,Pittsburgh Penguins,Conor Sheary Hooking against Justin Braun,Conor Sheary,Justin Braun,hooking,29,-33,NA,2,1,0
298,3,5:26,faceoff,Pittsburgh Penguins,Nick Bonino faceoff won against Joe Pavelski,Nick Bonino,Joe Pavelski,NA,69,-22,NA,2,1,0
299,3,5:44,giveaway,San Jose Sharks,Giveaway by Joe Thornton,Joe Thornton,NA,NA,48,-22,NA,2,1,0
300,3,5:47,stoppage,NA,High Stick,NA,NA,NA,NA,NA,NA,2,1,0
301,3,5:47,faceoff,San Jose Sharks,Joe Pavelski faceoff won against Matt Cullen,Joe Pavelski,Matt Cullen,NA,69,-22,NA,2,1,0
302,3,6:06,giveaway,San Jose Sharks,Giveaway by Brent Burns,Brent Burns,NA,NA,40,31,NA,2,1,0
303,3,6:21,blocked_shot,Pittsburgh Penguins,Ian Cole blocked shot from Logan Couture,Logan Couture,Ian Cole,NA,78,8,NA,2,1,1
